Lower layer Super Output Areas Code,Lower layer Super Output Areas,Observation
E01004766,Bolton 005A,3216.9
E01004767,Bolton 005B,3624.9
E01004768,Bolton 001A,407.1
E01004769,Bolton 003A,3715.7
E01004770,Bolton 003B,3438.8
E01004771,Bolton 003C,3722.1
E01004772,Bolton 005C,5671.3
E01004773,Bolton 003D,7381.7
E01004774,Bolton 005D,5682.5
E01004775,Bolton 014A,312.6
E01004776,Bolton 031A,340.2
E01004777,Bolton 004A,5013.1
E01004778,Bolton 009A,2718.1
E01004779,Bolton 007A,5485.7
E01004780,Bolton 009B,366.6
E01004781,Bolton 007B,781
E01004782,Bolton 009C,2214.9
E01004783,Bolton 009D,957.5
E01004784,Bolton 006A,4950.2
E01004785,Bolton 006B,2632.7
E01004786,Bolton 006C,1655.6
E01004787,Bolton 013A,5685.8
E01004788,Bolton 002A,1817.3
E01004789,Bolton 006D,256.3
E01004790,Bolton 002B,2651.5
E01004791,Bolton 006E,3322.5
E01004792,Bolton 006F,2208.1
E01004793,Bolton 013B,5656.5
E01004794,Bolton 013C,5333
E01004795,Bolton 013D,3677.3
E01004796,Bolton 019A,3089
E01004797,Bolton 013E,4666.9
E01004798,Bolton 019B,2990.4
E01004799,Bolton 019C,4523.8
E01004800,Bolton 019D,5380.5
E01004801,Bolton 019E,3194
E01004802,Bolton 010A,5651.7
E01004803,Bolton 001B,659.7
E01004804,Bolton 001C,3130.1
E01004805,Bolton 002C,1591.1
E01004806,Bolton 002D,2395.8
E01004807,Bolton 001D,4375.6
E01004808,Bolton 001E,2166.6
E01004809,Bolton 003E,4822.3
E01004810,Bolton 002E,1951.4
E01004811,Bolton 022A,4229.7
E01004812,Bolton 022B,2980.5
E01004813,Bolton 022C,9175.9
E01004814,Bolton 027A,1995.8
E01004815,Bolton 022D,7504.2
E01004816,Bolton 029A,12235.6
E01004817,Bolton 022E,2436.3
E01004818,Bolton 017A,7098.1
E01004819,Bolton 017B,4296.6
E01004820,Bolton 011A,11489.1
E01004822,Bolton 016B,5909.2
E01004823,Bolton 016C,6465.6
E01004824,Bolton 005E,6767.2
E01004825,Bolton 011B,12181.7
E01004826,Bolton 011C,9235.5
E01004827,Bolton 021A,12460.9
E01004828,Bolton 023A,14085.2
E01004829,Bolton 023B,7175.2
E01004830,Bolton 026A,7024.4
E01004831,Bolton 026B,4648.9
E01004832,Bolton 023C,10024.4
E01004833,Bolton 026C,277.6
E01004834,Bolton 018A,13300.3
E01004835,Bolton 020A,3578.3
E01004836,Bolton 020B,2904.7
E01004837,Bolton 020C,1228.2
E01004838,Bolton 018B,2488.2
E01004839,Bolton 026D,6706.3
E01004840,Bolton 012A,415.2
E01004841,Bolton 012B,4374.8
E01004842,Bolton 012C,5158.1
E01004843,Bolton 018C,4465.5
E01004844,Bolton 020D,1794.8
E01004845,Bolton 018D,3677.8
E01004846,Bolton 025A,11614.5
E01004847,Bolton 025B,9520.2
E01004848,Bolton 016D,2396.2
E01004849,Bolton 021B,6100
E01004850,Bolton 021C,12164.5
E01004851,Bolton 021D,7843.2
E01004852,Bolton 025C,8895.7
E01004853,Bolton 021E,15144.2
E01004854,Bolton 023D,12236.2
E01004855,Bolton 027B,1860.3
E01004856,Bolton 027C,3865.7
E01004857,Bolton 027D,5033.1
E01004858,Bolton 032A,4954.7
E01004859,Bolton 032B,4419
E01004860,Bolton 032C,5003.4
E01004861,Bolton 033A,3964.4
E01004862,Bolton 033B,5167.3
E01004863,Bolton 033C,5549.3
E01004864,Bolton 008A,6731
E01004865,Bolton 011D,6118.4
E01004866,Bolton 011E,5301.8
E01004867,Bolton 008B,8512.6
E01004868,Bolton 015A,11432.3
E01004869,Bolton 015B,8376.7
E01004870,Bolton 015C,6368.8
E01004871,Bolton 015D,9052.4
E01004872,Bolton 029B,6924.3
E01004873,Bolton 029C,8208.8
E01004874,Bolton 033D,5607
E01004875,Bolton 029D,3158.6
E01004876,Bolton 033E,5003.8
E01004877,Bolton 025D,3821.6
E01004878,Bolton 023E,7295.8
E01004879,Bolton 025E,9319.5
E01004880,Bolton 029E,3147.5
E01004881,Bolton 004B,7107.9
E01004882,Bolton 007C,5760
E01004883,Bolton 007D,3646.9
E01004884,Bolton 007E,259.3
E01004885,Bolton 014B,727.9
E01004886,Bolton 014C,5884.6
E01004887,Bolton 014D,1996.4
E01004888,Bolton 004C,3410.5
E01004889,Bolton 004D,4373.9
E01004890,Bolton 004E,4480.9
E01004891,Bolton 028A,1415.8
E01004892,Bolton 030A,456.9
E01004893,Bolton 028B,1526.4
E01004894,Bolton 028C,3854.6
E01004895,Bolton 031B,5015.1
E01004896,Bolton 030B,2736.7
E01004897,Bolton 020E,1312.2
E01004899,Bolton 030C,1067
E01004900,Bolton 030D,6343.3
E01004901,Bolton 028E,4977.4
